danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,playlist,genre,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,danceability_original,energy_original,loudness_original,speechiness_original,acousticness_original,instrumentalness_original,liveness_original,valence_original,tempo_original,duration_ms_original,time_signature_original
0.533948941,0.723067565,0.906442459,1,0.02605042,0.087246742,0,0.206084601,0.451290153,0.671347062,audio_features,6DEaND0SHv3sC11xobZLiy,spotify:track:6DEaND0SHv3sC11xobZLiy,https://api.spotify.com/v1/tracks/6DEaND0SHv3sC11xobZLiy,https://api.spotify.com/v1/audio-analysis/6DEaND0SHv3sC11xobZLiy,0.082927202,0.75,Take Your Time: Sam Hunt ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,0,0,0,0,1,0.551,0.719,-5.631,0.0416,0.0869,0,0.219,0.449,158.08,243707,4
0.663226507,0.741194052,0.881996847,1,0.028571429,0.223893665,0,0.316524276,0.772511848,0.256816821,audio_features,6YWvgL06rVQ1TLzbT5EQLB,spotify:track:6YWvgL06rVQ1TLzbT5EQLB,https://api.spotify.com/v1/tracks/6YWvgL06rVQ1TLzbT5EQLB,https://api.spotify.com/v1/audio-analysis/6YWvgL06rVQ1TLzbT5EQLB,0.048225192,0.75,Sunshine & Whiskey: Frankie Ballard ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,0,0,1,0,0,0.67,0.737,-6.794,0.0434,0.223,0,0.325,0.754,92.983,182400,4
0.493753395,0.894262161,0.953420914,0,0.116246499,0.218873573,0,0.087309856,0.866245392,0.670984093,audio_features,6WTFRjOG3nS94P8wfm4ANH,spotify:track:6WTFRjOG3nS94P8wfm4ANH,https://api.spotify.com/v1/tracks/6WTFRjOG3nS94P8wfm4ANH,https://api.spotify.com/v1/audio-analysis/6WTFRjOG3nS94P8wfm4ANH,0.044768406,0.75,Games: Luke Bryan ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,0,1,0,0,0,0.514,0.889,-3.396,0.106,0.218,0,0.105,0.843,158.023,176293,4
0.717544813,0.85398108,0.977593274,1,0.012044818,0.028009647,0.000172098,0.079078975,0.985255398,0.333416116,audio_features,5gnV9rhNQlb6nqFiwQgKVf,spotify:track:5gnV9rhNQlb6nqFiwQgKVf,https://api.spotify.com/v1/tracks/5gnV9rhNQlb6nqFiwQgKVf,https://api.spotify.com/v1/audio-analysis/5gnV9rhNQlb6nqFiwQgKVf,0.061425167,0.75,Homegrown: Zac Brown Band ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,1,0,0,0,0,0,0.72,0.849,-2.246,0.0316,0.0279,0.000169,0.0971,0.956,105.012,205720,4
0.678435633,0.728102701,0.893326327,1,0,0.019676294,0.044093686,0.049176912,0.872564508,0.314216941,audio_features,1yaFBgYRHxXxJN0AKy3WS1,spotify:track:1yaFBgYRHxXxJN0AKy3WS1,https://api.spotify.com/v1/tracks/1yaFBgYRHxXxJN0AKy3WS1,https://api.spotify.com/v1/audio-analysis/1yaFBgYRHxXxJN0AKy3WS1,0.075372311,0.75,On To Something Good: Ashley Monroe ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,1,0,0,0,0,0,0,0,0.684,0.724,-6.255,0.023,0.0196,0.0433,0.0684,0.849,101.997,230360,4
0.404671374,0.742201079,0.942616921,1,0.011064426,0.042166309,0,0.101896228,0.508162191,0.643532139,audio_features,1hb6wUcWcjJswYPaTXJgxw,spotify:track:1hb6wUcWcjJswYPaTXJgxw,https://api.spotify.com/v1/tracks/1hb6wUcWcjJswYPaTXJgxw,https://api.spotify.com/v1/audio-analysis/1hb6wUcWcjJswYPaTXJgxw,0.053606503,0.75,Ain't Worth The Whiskey: Cole Swindell ,Top 100 Country Tracks on Spotify,Country,0,0,1,0,0,0,0,0,0,0,0,0,0.432,0.738,-3.91,0.0309,0.042,0,0.119,0.503,153.712,191907,4
0.38077132,0.751264322,0.920462428,1,0.017927171,0.058331008,0,0.080329235,0.367035282,0.671245176,audio_features,1zbcFS5hS92oXNL3UZDfY0,spotify:track:1zbcFS5hS92oXNL3UZDfY0,https://api.spotify.com/v1/tracks/1zbcFS5hS92oXNL3UZDfY0,https://api.spotify.com/v1/audio-analysis/1zbcFS5hS92oXNL3UZDfY0,0.068398739,0.75,Lonely Tonight (feat. Ashley Monroe): Blake Shelton Ashley Monroe ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,1,0,0,0,0,0,0,0.41,0.747,-4.964,0.0358,0.0581,0,0.0983,0.369,158.064,218040,4
0.688212928,0.887212972,0.912958487,1,0.021848739,0.287146834,0,0.132110856,0.827277514,0.237662222,audio_features,1Oe4iHSl5mLQ0YHnzQ4eRA,spotify:track:1Oe4iHSl5mLQ0YHnzQ4eRA,https://api.spotify.com/v1/tracks/1Oe4iHSl5mLQ0YHnzQ4eRA,https://api.spotify.com/v1/audio-analysis/1Oe4iHSl5mLQ0YHnzQ4eRA,0.022119581,0.75,I'm To Blame: Kip Moore ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,1,0,0,0,0,0.693,0.882,-5.321,0.0386,0.286,0,0.148,0.806,89.975,136280,4
0.569799022,0.817728107,0.873021545,1,0.04929972,0.029816881,0.000200611,0.261304438,0.793575566,0.270176645,audio_features,4sl4UWqzHSG7riBKdralwy,spotify:track:4sl4UWqzHSG7riBKdralwy,https://api.spotify.com/v1/tracks/4sl4UWqzHSG7riBKdralwy,https://api.spotify.com/v1/audio-analysis/4sl4UWqzHSG7riBKdralwy,0.06067064,0.75,Little Red Wagon: Miranda Lambert ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,1,0,0,0,0,0,0.584,0.813,-7.221,0.0582,0.0297,0.000197,0.272,0.774,95.081,204387,4
0.655621945,0.532739456,0.819590121,1,0.009943978,0.088953573,0,0.138362159,0.261716693,0.358830347,audio_features,2Hx66vdWgA4DE0yqqktQiT,spotify:track:2Hx66vdWgA4DE0yqqktQiT,https://api.spotify.com/v1/tracks/2Hx66vdWgA4DE0yqqktQiT,https://api.spotify.com/v1/audio-analysis/2Hx66vdWgA4DE0yqqktQiT,0.062346109,0.75,Drinking Class: Lee Brice ,Top 100 Country Tracks on Spotify,Country,0,1,0,0,0,0,0,0,0,0,0,0,0.663,0.53,-9.763,0.0301,0.0886,0,0.154,0.269,109.003,207347,4
0.453557849,0.957704865,0.946715712,1,0.024089636,0.10341144,2.42E-06,0.437382788,0.891521854,0.747882678,audio_features,0El2Zyt68nYySFDG87hZgM,spotify:track:0El2Zyt68nYySFDG87hZgM,https://api.spotify.com/v1/tracks/0El2Zyt68nYySFDG87hZgM,https://api.spotify.com/v1/audio-analysis/0El2Zyt68nYySFDG87hZgM,0.049531039,0.75,Sun Daze: Florida Georgia Line ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,1,0,0,0,0,0,0,0,0.477,0.952,-3.715,0.0402,0.103,2.38E-06,0.441,0.867,170.099,184707,4
0.614340033,0.57201351,0.899653179,1,0.005742297,0.261042352,0,0.110231298,0.358609795,0.619811765,audio_features,6VZCuvHwk3xmjwgKga0bNi,spotify:track:6VZCuvHwk3xmjwgKga0bNi,https://api.spotify.com/v1/tracks/6VZCuvHwk3xmjwgKga0bNi,https://api.spotify.com/v1/audio-analysis/6VZCuvHwk3xmjwgKga0bNi,0.058760833,0.75,I Got The Boy: Jana Kramer ,Top 100 Country Tracks on Spotify,Country,1,0,0,0,0,0,0,0,0,0,0,0,0.625,0.569,-5.954,0.0271,0.26,0,0.127,0.361,149.987,201013,4
0.42531233,0.89829027,0.967609038,1,0.055602241,0.024395181,0,0.062617212,0.080674039,0.554706504,audio_features,10RQKVSr4rS0coExTmi4dF,spotify:track:10RQKVSr4rS0coExTmi4dF,https://api.spotify.com/v1/tracks/10RQKVSr4rS0coExTmi4dF,https://api.spotify.com/v1/audio-analysis/10RQKVSr4rS0coExTmi4dF,0.079794755,0.75,Something in the Water: Carrie Underwood ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,1,0,0,0,0,0.451,0.893,-2.721,0.0627,0.0243,0,0.0813,0.0971,139.763,238173,4
0.640412819,0.915409729,0.915817131,1,0.047478992,0.125499848,0,0.026568035,0.90521327,0.224977394,audio_features,5mv0E9VfdpuwNX4fMznxjs,spotify:track:5mv0E9VfdpuwNX4fMznxjs,https://api.spotify.com/v1/tracks/5mv0E9VfdpuwNX4fMznxjs,https://api.spotify.com/v1/audio-analysis/5mv0E9VfdpuwNX4fMznxjs,0.061100828,0.75,Homegrown Honey: Darius Rucker ,Top 100 Country Tracks on Spotify,Country,0,1,0,0,0,0,0,0,0,0,0,0,0.649,0.91,-5.185,0.0569,0.125,0,0.0467,0.88,87.983,205147,4
