,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,playlist,genre,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,danceability_original,energy_original,loudness_original,speechiness_original,acousticness_original,instrumentalness_original,liveness_original,valence_original,tempo_original,duration_ms_original,time_signature_original
20,0.615426399,0.9425994590000001,0.9434787179999999,0,0.020168066999999998,0.016162229,1.09e-05,0.329026881,0.674565561,0.307855424,audio_features,7oEk2RVJdDxMK9OYIVpJtB,spotify:track:7oEk2RVJdDxMK9OYIVpJtB,https://api.spotify.com/v1/tracks/7oEk2RVJdDxMK9OYIVpJtB,https://api.spotify.com/v1/audio-analysis/7oEk2RVJdDxMK9OYIVpJtB,0.057206495999999996,0.75,Bartender: Lady Antebellum ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,0,0,0,0,1,0.626,0.937,-3.8689999999999998,0.0374,0.0161,1.07e-05,0.337,0.6609999999999999,100.99799999999999,198267,4
22,0.431830527,0.909367567,0.928281661,1,0.03627451,0.13252797800000002,7.01e-06,0.136278391,0.7040547659999999,0.7335740390000001,audio_features,2IcMGD8bOTbownOOav5qjE,spotify:track:2IcMGD8bOTbownOOav5qjE,https://api.spotify.com/v1/tracks/2IcMGD8bOTbownOOav5qjE,https://api.spotify.com/v1/audio-analysis/2IcMGD8bOTbownOOav5qjE,0.078217777,0.75,Shotgun Rider: Tim McGraw ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,1,0,0,0,0,0.457,0.904,-4.592,0.0489,0.132,6.88e-06,0.152,0.6890000000000001,167.852,235387,4
24,0.569799022,0.87110054,0.908964792,1,0.026470588,0.005369029,2.97e-05,0.067305689,0.503949447,0.41615405200000005,audio_features,3MFV4DgrAOXz6KURPQxRj9,spotify:track:3MFV4DgrAOXz6KURPQxRj9,https://api.spotify.com/v1/tracks/3MFV4DgrAOXz6KURPQxRj9,https://api.spotify.com/v1/audio-analysis/3MFV4DgrAOXz6KURPQxRj9,0.055908007999999995,0.75,Somewhere In My Car: Keith Urban ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,0,0,0,1,0,0.584,0.866,-5.511,0.0419,0.00535,2.9199999999999998e-05,0.0858,0.499,118.005,195973,4
26,0.7827267790000001,0.586111889,0.870099842,1,0.093977591,0.052808905999999996,4.15e-06,0.016149198,0.9062664559999999,0.20607114199999998,audio_features,61tRRrJoargpHwT0uAEpuY,spotify:track:61tRRrJoargpHwT0uAEpuY,https://api.spotify.com/v1/tracks/61tRRrJoargpHwT0uAEpuY,https://api.spotify.com/v1/audio-analysis/61tRRrJoargpHwT0uAEpuY,0.050572545999999996,0.75,American Kids: Kenny Chesney ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,1,0,0,0,0,0.78,0.583,-7.36,0.0901,0.0526,4.08e-06,0.0367,0.8809999999999999,85.014,186547,4
28,0.557848995,0.839882701,0.8990856540000001,1,0.012885154,0.01134294,0.0,0.119608252,0.60821485,0.371744419,audio_features,7196z4iac1h7cup3h9IwfR,spotify:track:7196z4iac1h7cup3h9IwfR,https://api.spotify.com/v1/tracks/7196z4iac1h7cup3h9IwfR,https://api.spotify.com/v1/audio-analysis/7196z4iac1h7cup3h9IwfR,0.038874266,0.75,Turn It On: Eli Young Band ,Top 100 Country Tracks on Spotify,Country,1,0,0,0,0,0,0,0,0,0,0,0,0.573,0.835,-5.981,0.0322,0.0113,0.0,0.136,0.598,111.031,165880,4
30,0.568712656,0.86405135,0.930320547,1,0.024089636,0.058130204000000005,0.0,0.092519275,0.617693523,0.569403584,audio_features,0IsjGDAqohBEdZWVoTaMjI,spotify:track:0IsjGDAqohBEdZWVoTaMjI,https://api.spotify.com/v1/tracks/0IsjGDAqohBEdZWVoTaMjI,https://api.spotify.com/v1/audio-analysis/0IsjGDAqohBEdZWVoTaMjI,0.054217822,0.75,Raised by a Good Time: Steven Lee Olsen ,Top 100 Country Tracks on Spotify,Country,0,0,1,0,0,0,0,0,0,0,0,0,0.583,0.8590000000000001,-4.495,0.0402,0.0579,0.0,0.11,0.607,142.071,192987,4
32,0.7990222709999999,0.632435132,0.892716763,0,0.0029411759999999998,0.014656201,0.0,0.075640758,0.447077409,0.352303264,audio_features,5ZlPmjDhZi1qQWVHiaU7MU,spotify:track:5ZlPmjDhZi1qQWVHiaU7MU,https://api.spotify.com/v1/tracks/5ZlPmjDhZi1qQWVHiaU7MU,https://api.spotify.com/v1/audio-analysis/5ZlPmjDhZi1qQWVHiaU7MU,0.09744038199999999,0.75,That Look: Aaron Watson ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,0,0,0,0,1,0.795,0.629,-6.284,0.0251,0.0146,0.0,0.0938,0.445,107.978,269347,4
34,0.242802825,0.652575673,0.926915397,1,0.01302521,0.015861023000000002,0.0,0.257136904,0.36808846799999995,0.61341204,audio_features,799mKKcXcpcJcbBZzrnyAp,spotify:track:799mKKcXcpcJcbBZzrnyAp,https://api.spotify.com/v1/tracks/799mKKcXcpcJcbBZzrnyAp,https://api.spotify.com/v1/audio-analysis/799mKKcXcpcJcbBZzrnyAp,0.058542342000000004,0.5,Drunk Americans: Toby Keith ,Top 100 Country Tracks on Spotify,Country,0,0,1,0,0,0,0,0,0,0,0,0,0.28300000000000003,0.649,-4.657,0.0323,0.0158,0.0,0.268,0.37,148.982,200627,3
36,0.5469853339999999,0.7935594579999999,0.9417971620000001,1,0.009383754000000001,0.009114018,0.000403259,0.077516149,0.766192733,0.588666437,audio_features,1OtiKlQ3EALplQWw2LF7Xn,spotify:track:1OtiKlQ3EALplQWw2LF7Xn,https://api.spotify.com/v1/tracks/1OtiKlQ3EALplQWw2LF7Xn,https://api.spotify.com/v1/audio-analysis/1OtiKlQ3EALplQWw2LF7Xn,0.061493092,0.75,Love You Like That: Canaan Smith ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,0,0,0,0,1,0.563,0.789,-3.949,0.0297,0.00908,0.000396,0.0956,0.748,145.096,205840,4
38,0.58718088,0.936557297,0.951403048,1,0.063165266,0.128511904,0.0,0.049593665,0.732490785,0.282103695,audio_features,0Rm6GWdapFsg4Z6r2Ae3s8,spotify:track:0Rm6GWdapFsg4Z6r2Ae3s8,https://api.spotify.com/v1/tracks/0Rm6GWdapFsg4Z6r2Ae3s8,https://api.spotify.com/v1/audio-analysis/0Rm6GWdapFsg4Z6r2Ae3s8,0.05633819599999999,0.75,Tattoo: Hunter Hayes ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,0,1,0,0,0,0.6,0.9309999999999999,-3.492,0.0681,0.128,0.0,0.0688,0.716,96.954,196733,4
