danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,playlist
0.513,0.221,0,-10.233,1,0.0302,0.822,0,0.113,0.354,173.865,audio_features,11qh54D0PKkBwelpDxxiEU,spotify:track:11qh54D0PKkBwelpDxxiEU,https://api.spotify.com/v1/tracks/11qh54D0PKkBwelpDxxiEU,https://api.spotify.com/v1/audio-analysis/11qh54D0PKkBwelpDxxiEU,193320,3,Girl Crush: Little Big Town ,Top 100 Country Tracks on Spotify
0.586,0.804,1,-5.277,1,0.0343,0.0372,0,0.334,0.693,90.97,audio_features,1uKbUXl4F8WfecP9ihr5Lm,spotify:track:1uKbUXl4F8WfecP9ihr5Lm,https://api.spotify.com/v1/tracks/1uKbUXl4F8WfecP9ihr5Lm,https://api.spotify.com/v1/audio-analysis/1uKbUXl4F8WfecP9ihr5Lm,190920,4,Don't It: Billy Currington ,Top 100 Country Tracks on Spotify
0.428,0.781,0,-3.42,1,0.0382,0.0824,0,0.118,0.458,147.913,audio_features,72wSY7TWu27sVm2rwRLen5,spotify:track:72wSY7TWu27sVm2rwRLen5,https://api.spotify.com/v1/tracks/72wSY7TWu27sVm2rwRLen5,https://api.spotify.com/v1/audio-analysis/72wSY7TWu27sVm2rwRLen5,196213,4,A Guy Walks Into a Bar: Tyler Farr ,Top 100 Country Tracks on Spotify
0.342,0.338,7,-8.414,1,0.029,0.302,1.07e-06,0.114,0.172,151.37,audio_features,1B17jo7XD3lJ9AtrdE9kUd,spotify:track:1B17jo7XD3lJ9AtrdE9kUd,https://api.spotify.com/v1/tracks/1B17jo7XD3lJ9AtrdE9kUd,https://api.spotify.com/v1/audio-analysis/1B17jo7XD3lJ9AtrdE9kUd,262053,4,She Don't Love You: Eric Paslay ,Top 100 Country Tracks on Spotify
0.552,0.658,1,-5.591,1,0.029,0.0118,3.61e-06,0.0753,0.583,138.039,audio_features,0n96wSHG9FXAuLVoaG9Jjd,spotify:track:0n96wSHG9FXAuLVoaG9Jjd,https://api.spotify.com/v1/tracks/0n96wSHG9FXAuLVoaG9Jjd,https://api.spotify.com/v1/audio-analysis/0n96wSHG9FXAuLVoaG9Jjd,221467,4,One Hell Of An Amen: Brantley Gilbert ,Top 100 Country Tracks on Spotify
0.719,0.76,1,-6.781,1,0.0277,0.578,0,0.0852,0.771,106.954,audio_features,3BGXzcX7YtQySO5wF1h5b2,spotify:track:3BGXzcX7YtQySO5wF1h5b2,https://api.spotify.com/v1/tracks/3BGXzcX7YtQySO5wF1h5b2,https://api.spotify.com/v1/audio-analysis/3BGXzcX7YtQySO5wF1h5b2,189253,4,Gentle On My Mind: The Band Perry ,Top 100 Country Tracks on Spotify
0.626,0.937,11,-3.869,0,0.0374,0.0161,1.07e-05,0.337,0.661,100.998,audio_features,7oEk2RVJdDxMK9OYIVpJtB,spotify:track:7oEk2RVJdDxMK9OYIVpJtB,https://api.spotify.com/v1/tracks/7oEk2RVJdDxMK9OYIVpJtB,https://api.spotify.com/v1/audio-analysis/7oEk2RVJdDxMK9OYIVpJtB,198267,4,Bartender: Lady Antebellum ,Top 100 Country Tracks on Spotify
0.53,0.753,0,-5.551,1,0.0346,0.365,4.19e-05,0.269,0.38,123.979,audio_features,14UE0L5fL5TL0ohEiAv56X,spotify:track:14UE0L5fL5TL0ohEiAv56X,https://api.spotify.com/v1/tracks/14UE0L5fL5TL0ohEiAv56X,https://api.spotify.com/v1/audio-analysis/14UE0L5fL5TL0ohEiAv56X,234840,4,Perfect Storm: Brad Paisley ,Top 100 Country Tracks on Spotify
0.457,0.904,7,-4.592,1,0.0489,0.132,6.88e-06,0.152,0.689,167.852,audio_features,2IcMGD8bOTbownOOav5qjE,spotify:track:2IcMGD8bOTbownOOav5qjE,https://api.spotify.com/v1/tracks/2IcMGD8bOTbownOOav5qjE,https://api.spotify.com/v1/audio-analysis/2IcMGD8bOTbownOOav5qjE,235387,4,Shotgun Rider: Tim McGraw ,Top 100 Country Tracks on Spotify
0.623,0.791,7,-6.514,1,0.0385,0.0497,0,0.0821,0.759,102.024,audio_features,7Fit6fsC1IXiovS8lXQSHB,spotify:track:7Fit6fsC1IXiovS8lXQSHB,https://api.spotify.com/v1/tracks/7Fit6fsC1IXiovS8lXQSHB,https://api.spotify.com/v1/audio-analysis/7Fit6fsC1IXiovS8lXQSHB,212547,4,Hangover Tonight: Gary Allan Chris Stapleton ,Top 100 Country Tracks on Spotify
